,기준_년분기_코드,행정동_코드,월_평균_소득_금액,음식_지출_총금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,총_직장_인구_수,총_상주인구_수,총_유동인구_수
6591,20214,11410585,3331768,5992591000,438,488,4,19,6,29,50,21900381408,822975,5047,19272,9699991
6592,20214,11410655,3664523,320740000,36,43,0,0,5,2,7,1358504848,42773,739,14233,2663244
6593,20214,11440690,2802536,2506622000,190,192,6,11,4,8,2,8441773439,364889,3153,20802,7127084
6594,20214,11500560,3132782,1214905000,125,138,4,5,3,4,13,4475343030,161943,5333,21443,3845471
6595,20214,11500590,2398795,1108926000,133,149,4,6,5,7,16,3884453051,128325,2983,38372,8691659
6596,20214,11530540,2888444,4819101000,324,397,2,8,2,7,73,28219805964,1074911,52394,23853,6933467
6597,20214,11530595,2336331,303493000,93,95,0,0,6,6,2,1564832547,43812,972,9271,3235536
6598,20214,11545670,2757307,2124098000,296,325,6,19,3,8,29,13504395069,385410,6679,33778,5949924
6599,20214,11560585,3031484,512720000,57,64,2,1,2,1,7,1353094740,71215,1619,18248,5376377
6600,20214,11560620,3672088,1589420000,163,181,4,8,2,3,18,10262848423,350708,14774,22389,5392520
6601,20214,11560660,2717791,139063000,28,33,3,1,12,4,5,543175513,16298,1248,10489,3022272
6602,20214,11590670,3845094,452752000,66,72,0,0,0,0,6,2540992690,73320,7418,23662,3202452
6603,20214,11620575,2889475,1290963000,121,128,6,7,4,5,7,6058143647,199771,4257,28912,7308963
6604,20214,11650520,5196131,3401756000,235,255,6,15,3,8,20,25181826526,626403,67858,21404,6718244
6605,20214,11650581,5280483,5419984000,140,169,5,8,1,1,29,9639614071,228913,94714,19377,6013682
6606,20214,11650621,4557937,1192855000,115,122,3,3,3,3,7,8412746277,263431,21837,23722,6414244
6607,20214,11680545,5808537,8375808000,315,331,5,17,1,3,16,25990453280,485521,44490,27248,7752626
6608,20214,11680700,3885403,1211902000,73,92,3,3,5,5,19,3556558859,127547,1534,44314,3446429
6609,20214,11710562,2928271,5086045000,316,347,5,16,4,12,31,31171323979,623328,24911,26148,6175752
6610,20214,11740580,3688535,836432000,59,66,9,6,3,2,7,5743647691,142940,2638,15439,2344543
